Species	Br	Bd	Bd^2
Crocuta_crocuta	2.243038049	4.794975744	22.99179239
Cystophora_cristata	2.658011397	5.451540829	29.71929741
Erignathus_barbatus	2.662757832	5.44870632	29.68840056
Eumetopias_jubatus	2.820365685	5.808734108	33.74139194
Felis_catus	1.45331834	3.397940009	11.5459963
Felis_silvestris	1.448	3.497	12.229009
Genetta_tigrina	1.18610838	3.183269844	10.1332069
Halichoerus_grypus	2.48784512	5.28780173	27.96084714
Helarctos_malayanus	2.586024382	4.653405491	21.65418266
Hydrurga_leptonyx	2.852784869	5.538448052	30.67440682
Ichneumia_albicauda	1.451786436	3.643452676	13.2747474
Leopardus_pardalis	1.800029359	3.978887781	15.83154797
Leptailurus_serval	1.733197265	4.054613055	16.43988703
Leptonychotes_weddellii	2.751407423	5.578257077	31.11695202
Lobodon_carcinophaga	2.768082856	5.34684177	28.58871691
Lutra_lutra	1.6599162	3.947859475	15.58559443
Lycalopex_gymnocercus	1.544068044	3.657311189	13.37592513
Lynx_canadensis	1.841984805	4.175192788	17.43223482
Lynx_rufus	1.812913357	3.802773725	14.461088
Martes_foina	1.342422681	3.224014811	10.3942715
Martes_martes	1.281033367	3.113940012	9.696622398
Melursus_ursinus	2.426511261	5.133794301	26.35584392
Mephitis_mephitis	1.006466042	3.29666519	10.86800137
Mirounga_leonina	3.080987047	6.302439164	39.72073942
Monachus_monachus	2.681241237	5.447932866	29.67997251
Monachus_schauinslandi	2.568201724	5.238046103	27.43712698
Mustela_erminea	0.6599162	2.194329299	4.815081072
Mustela_putorius	0.895974732	2.961421094	8.770014896
Nasua_narica	1.645127399	3.795880017	14.4087051
Nasua_nasua	1.574031268	3.503450193	12.27416325
Neophoca_cinerea	2.589670402	5.277093255	27.84771322
Odobenus_rosmarus	3.149296108	6.009546498	36.11464911
Ommatophoca_rossii	2.694605199	5.253822439	27.60265022
Otaria_byronia	2.704365036	5.346352974	28.58349012
Otocyon_megalotis	1.416474079	3.523095838	12.41220428
